Event	ID	Name			Wwise Object Path	Notes
	544300867	Flashbang			\Default Work Unit\Stock4\Flashbang	
	761761105	Key_Pickup			\Default Work Unit\Allgemein\Key_Pickup	
	788884573	Stop			\Default Work Unit\Stop	
	1147059385	Stock3BGStop			\Default Work Unit\Stock3\Stock3BGStop	
	1404805401	DoorOpen			\Default Work Unit\Allgemein\DoorOpen	
	1553366040	PartyTime			\Default Work Unit\Stock4\PartyTime	
	1565151532	Stock2BGStop			\Default Work Unit\Stock2\Stock2BGStop	
	1697683977	DoorClosed			\Default Work Unit\Allgemein\DoorClosed	
	1721292362	LobbyBG			\Default Work Unit\Lobby\LobbyBG	
	1862445301	ResumeBG			\Default Work Unit\ResumeBG	
	2175140498	LobbyBGStop			\Default Work Unit\Lobby\LobbyBGStop	
	2385628198	Footsteps			\Default Work Unit\Allgemein\Footsteps	
	2565034306	ClockKeyPickup			\Default Work Unit\Stock2\ClockKeyPickup	
	2720010237	StartGameButton			\Default Work Unit\MainMenu\StartGameButton	
	2935626337	Stock3BG			\Default Work Unit\Stock3\Stock3BG	
	3070141355	Stock1BG			\Default Work Unit\Stock1\Stock1BG	
	3104535170	Stock4BG			\Default Work Unit\Stock4\Stock4BG	
	3317115262	MainMenuBG			\Default Work Unit\MainMenu\MainMenuBG	
	3506212420	Stock2BG			\Default Work Unit\Stock2\Stock2BG	
	4051332235	ButtonClick			\Default Work Unit\MainMenu\ButtonClick	
	4137697555	FinalDoor			\Default Work Unit\Stock4\FinalDoor	
	4195713867	Stock1BGStop			\Default Work Unit\Stock1\Stock1BGStop	

Switch Group	ID	Name			Wwise Object Path	Notes
	2385628198	Footsteps			\Default Work Unit\Footsteps	

Switch	ID	Name	Switch Group			Notes
	299048019	Wood_Knarr	Footsteps			
	2058049674	Wood	Footsteps			
	2144363834	Rock	Footsteps			

Effect plug-ins	ID	Name	Type				Notes
	602546716	Room_Large	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	15473058	Footsteps_Wood_Walk_09	G:\Game Design\HAW Master\Audio\Wwise-Projekt\Wwise-Projekt\Wwise Project\Wwise Project_WwiseProject\.cache\Windows\SFX\Musikdiewirnutzenwollen\Allgemein\Footsteps_Wood\Footsteps_Wood_Walk_09_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps_Wood\Footsteps_Wood_Walk_09		49048
	17998917	flashbang-78581	G:\Game Design\HAW Master\Audio\Wwise-Projekt\Wwise-Projekt\Wwise Project\Wwise Project_WwiseProject\.cache\Windows\SFX\flashbang-78581_79D7F0C8.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dachgeschoss\flashbang-78581		356706
	83017666	noise5	G:\Game Design\HAW Master\Audio\Wwise-Projekt\Wwise-Projekt\Wwise Project\Wwise Project_WwiseProject\.cache\Windows\SFX\Musikdiewirnutzenwollen\3.Stock\Messerschleifen\noise5_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\3\Messerschleifen\noise5		481004
	92599921	Footsteps_Rock_Walk_03	G:\Game Design\HAW Master\Audio\Wwise-Projekt\Wwise-Projekt\Wwise Project\Wwise Project_WwiseProject\.cache\Windows\SFX\Musikdiewirnutzenwollen\0.Erdgeschoss\Footsteps_Rock\Footsteps_Rock_Walk_03_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps_Rock\Footsteps_Rock_Walk_03		43178
	121338232	Footsteps_Wood_Walk_03	G:\Game Design\HAW Master\Audio\Wwise-Projekt\Wwise-Projekt\Wwise Project\Wwise Project_WwiseProject\.cache\Windows\SFX\Musikdiewirnutzenwollen\Allgemein\Footsteps_Wood\Footsteps_Wood_Walk_03_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps_Wood_Knarrend\Footsteps_Wood_Walk_03		49052
	125878770	Footsteps_Rock_Walk_04	G:\Game Design\HAW Master\Audio\Wwise-Projekt\Wwise-Projekt\Wwise Project\Wwise Project_WwiseProject\.cache\Windows\SFX\Musikdiewirnutzenwollen\0.Erdgeschoss\Footsteps_Rock\Footsteps_Rock_Walk_04_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps_Rock\Footsteps_Rock_Walk_04		36590
	131407623	Footsteps_Rock_Walk_08	G:\Game Design\HAW Master\Audio\Wwise-Projekt\Wwise-Projekt\Wwise Project\Wwise Project_WwiseProject\.cache\Windows\SFX\Musikdiewirnutzenwollen\0.Erdgeschoss\Footsteps_Rock\Footsteps_Rock_Walk_08_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps_Rock\Footsteps_Rock_Walk_08		37032
